date,source_game,target_game,country,ad_impressions,installs
2020-07-01,A,K,US,32105,1380
2020-07-02,A,K,US,29535,1430
2020-07-03,A,K,US,28702,1262
2020-07-04,A,K,US,32822,1550
2020-07-05,A,K,US,23097,1034
2020-07-06,A,K,US,23064,999
2020-07-07,A,K,US,26857,1153
2020-07-08,A,K,US,31756,1420
2020-07-09,A,K,US,31890,1394
2020-07-10,A,K,US,34070,1370
2020-07-11,A,K,US,33305,1513
2020-07-12,A,K,US,34263,1503
2020-07-13,A,K,US,30087,1286
2020-07-14,A,K,US,31679,1428
2020-07-15,A,K,US,33864,1506
2020-07-16,A,K,US,35159,1466
2020-07-17,A,K,US,33553,1523
2020-07-18,A,K,US,36593,1477
2020-07-19,A,K,US,32840,1442
2020-07-20,A,K,US,28864,1246
2020-07-21,A,K,US,29694,1264
2020-07-22,A,K,US,27192,1113
2020-07-23,A,K,US,26928,1160
2020-07-24,A,K,US,30975,1348
2020-07-25,A,K,US,29935,1294
2020-07-26,A,K,US,30581,1330
2020-07-27,A,K,US,25705,1216
2020-07-28,A,K,US,19926,968
2020-07-29,A,K,US,20694,919
2020-07-30,A,K,US,19820,973
2020-07-31,A,K,US,20308,894
2020-07-01,A,L,US,313555,2656
2020-07-02,A,L,US,444366,3557
2020-07-03,A,L,US,362724,3426
2020-07-04,A,L,US,634286,5090
2020-07-05,A,L,US,487343,4030
2020-07-06,A,L,US,581284,4662
2020-07-07,A,L,US,563418,4795
2020-07-08,A,L,US,523268,4349
2020-07-09,A,L,US,610135,4786
2020-07-10,A,L,US,376538,2194
2020-07-11,A,L,US,203099,1973
2020-07-12,A,L,US,223169,2058
2020-07-13,A,L,US,177395,1628
2020-07-14,A,L,US,166680,1615
2020-07-15,A,L,US,161056,1553
2020-07-16,A,L,US,196805,1721
2020-07-17,A,L,US,209023,1807
2020-07-18,A,L,US,162537,1568
2020-07-19,A,L,US,236539,2075
2020-07-20,A,L,US,167291,1550
2020-07-21,A,L,US,198066,1802
2020-07-22,A,L,US,194719,1752
2020-07-23,A,L,US,216267,2050
2020-07-24,A,L,US,190304,1883
2020-07-25,A,L,US,241423,2191
2020-07-26,A,L,US,251055,2325
2020-07-27,A,L,US,188713,1787
2020-07-28,A,L,US,179961,1790
2020-07-29,A,L,US,216962,1965
2020-07-30,A,L,US,210534,1866
2020-07-31,A,L,US,174349,1730
2020-07-01,A,M,US,15444,1876
2020-07-02,A,M,US,18258,2147
2020-07-03,A,M,US,13717,1849
2020-07-04,A,M,US,12509,1455
2020-07-05,A,M,US,14472,2036
2020-07-06,A,M,US,19021,2911
2020-07-07,A,M,US,15486,1605
2020-07-08,A,M,US,19065,2177
2020-07-09,A,M,US,13904,1996
2020-07-10,A,M,US,16864,1735
2020-07-11,A,M,US,21392,2764
2020-07-12,A,M,US,20375,2333
2020-07-13,A,M,US,16436,1720
2020-07-14,A,M,US,11318,1834
2020-07-15,A,M,US,20169,2990
2020-07-16,A,M,US,17069,2138
2020-07-17,A,M,US,11583,1411
2020-07-18,A,M,US,8845,993
2020-07-19,A,M,US,8838,991
2020-07-20,A,M,US,5478,614
2020-07-21,A,M,US,3203,366
2020-07-22,A,M,US,2198,241
2020-07-23,A,M,US,1463,167
2020-07-24,A,M,US,1111,134
2020-07-25,A,M,US,1011,119
2020-07-26,A,M,US,959,90
2020-07-27,A,M,US,453,45
2020-07-28,A,M,US,212,26
2020-07-29,A,M,US,4369,290
2020-07-30,A,M,US,4417,453
2020-07-31,A,M,US,5170,668
2020-07-01,A,N,US,7237,200
2020-07-02,A,N,US,5281,158
2020-07-03,A,N,US,5758,171
2020-07-04,A,N,US,11088,356
2020-07-05,A,N,US,7948,208
2020-07-06,A,N,US,9981,258
2020-07-07,A,N,US,7965,228
2020-07-08,A,N,US,6646,191
2020-07-09,A,N,US,7727,205
2020-07-10,A,N,US,6987,189
2020-07-11,A,N,US,7247,173
2020-07-12,A,N,US,5908,153
2020-07-13,A,N,US,3902,101
2020-07-14,A,N,US,4884,115
2020-07-15,A,N,US,37842,666
2020-07-16,A,N,US,133788,2783
2020-07-17,A,N,US,75929,1775
2020-07-18,A,N,US,59253,1437
2020-07-19,A,N,US,60375,1388
2020-07-20,A,N,US,62999,1545
2020-07-21,A,N,US,61866,1456
2020-07-22,A,N,US,44551,1230
2020-07-23,A,N,US,4352,199
2020-07-24,A,N,US,2449,113
2020-07-25,A,N,US,1889,63
2020-07-26,A,N,US,2425,78
2020-07-27,A,N,US,2267,60
2020-07-28,A,N,US,2187,64
2020-07-29,A,N,US,2481,58
2020-07-30,A,N,US,1779,39
2020-07-31,A,N,US,1547,34
2020-07-01,A,O,US,10150,827
2020-07-02,A,O,US,9108,757
2020-07-03,A,O,US,9582,843
2020-07-04,A,O,US,14981,1310
2020-07-05,A,O,US,9998,897
2020-07-06,A,O,US,8267,752
2020-07-07,A,O,US,7520,667
2020-07-08,A,O,US,8333,747
2020-07-09,A,O,US,6653,658
2020-07-10,A,O,US,7833,730
2020-07-11,A,O,US,8584,798
2020-07-12,A,O,US,10207,925
2020-07-13,A,O,US,7717,727
2020-07-14,A,O,US,7647,686
2020-07-15,A,O,US,8349,781
2020-07-16,A,O,US,7928,754
2020-07-17,A,O,US,7380,697
2020-07-18,A,O,US,7283,693
2020-07-19,A,O,US,8524,793
2020-07-20,A,O,US,6637,668
2020-07-21,A,O,US,6036,577
2020-07-22,A,O,US,6611,617
2020-07-23,A,O,US,6582,640
2020-07-24,A,O,US,8553,763
2020-07-25,A,O,US,8468,835
2020-07-26,A,O,US,9430,915
2020-07-27,A,O,US,7116,756
2020-07-28,A,O,US,4889,518
2020-07-29,A,O,US,4642,471
2020-07-30,A,O,US,5177,476
2020-07-31,A,O,US,5433,528
2020-07-01,A,P,US,18835,449
2020-07-02,A,P,US,22482,510
2020-07-03,A,P,US,23841,499
2020-07-04,A,P,US,29462,648
2020-07-05,A,P,US,25394,573
2020-07-06,A,P,US,20373,454
2020-07-07,A,P,US,19476,457
2020-07-08,A,P,US,18918,452
2020-07-09,A,P,US,18751,426
2020-07-10,A,P,US,31893,710
2020-07-11,A,P,US,49882,1102
2020-07-12,A,P,US,27315,630
2020-07-13,A,P,US,48410,1150
2020-07-14,A,P,US,56587,1239
2020-07-15,A,P,US,50885,1027
2020-07-16,A,P,US,59031,1146
2020-07-17,A,P,US,38950,686
2020-07-18,A,P,US,57346,895
2020-07-19,A,P,US,40694,712
2020-07-20,A,P,US,30216,532
2020-07-21,A,P,US,22969,486
2020-07-22,A,P,US,25041,449
2020-07-23,A,P,US,20379,390
2020-07-24,A,P,US,18569,317
2020-07-25,A,P,US,14328,260
2020-07-26,A,P,US,13231,255
2020-07-27,A,P,US,13005,225
2020-07-28,A,P,US,10134,220
2020-07-29,A,P,US,4246,91
2020-07-30,A,P,US,9330,172
2020-07-31,A,P,US,8754,154
2020-07-01,A,Q,US,2,0
2020-07-02,A,Q,US,41,0
2020-07-03,A,Q,US,5927,179
2020-07-04,A,Q,US,22809,875
2020-07-05,A,Q,US,8514,343
2020-07-06,A,Q,US,5608,257
2020-07-07,A,Q,US,7231,323
2020-07-08,A,Q,US,8856,493
2020-07-09,A,Q,US,12679,717
2020-07-10,A,Q,US,16099,1535
2020-07-11,A,Q,US,16218,763
2020-07-12,A,Q,US,17629,819
2020-07-13,A,Q,US,10540,533
2020-07-14,A,Q,US,10730,462
2020-07-15,A,Q,US,8901,436
2020-07-16,A,Q,US,13203,537
2020-07-17,A,Q,US,12645,562
2020-07-18,A,Q,US,11302,490
2020-07-19,A,Q,US,16133,655
2020-07-20,A,Q,US,11379,495
2020-07-21,A,Q,US,13988,590
2020-07-22,A,Q,US,11872,491
2020-07-23,A,Q,US,9560,373
2020-07-24,A,Q,US,8727,394
2020-07-25,A,Q,US,10351,423
2020-07-26,A,Q,US,10886,419
2020-07-27,A,Q,US,10925,396
2020-07-28,A,Q,US,14972,519
2020-07-29,A,Q,US,18590,619
2020-07-30,A,Q,US,26391,819
2020-07-31,A,Q,US,16946,618
2020-07-01,A,R,US,86068,666
2020-07-02,A,R,US,81296,682
2020-07-03,A,R,US,68942,593
2020-07-04,A,R,US,97223,890
2020-07-05,A,R,US,70406,643
2020-07-06,A,R,US,71192,590
2020-07-07,A,R,US,60919,560
2020-07-08,A,R,US,59161,579
2020-07-09,A,R,US,57062,557
2020-07-10,A,R,US,45030,475
2020-07-11,A,R,US,31925,354
2020-07-12,A,R,US,31534,346
2020-07-13,A,R,US,24367,280
2020-07-14,A,R,US,23401,250
2020-07-15,A,R,US,23108,278
2020-07-16,A,R,US,29423,335
2020-07-17,A,R,US,27222,315
2020-07-18,A,R,US,23054,273
2020-07-19,A,R,US,28839,313
2020-07-20,A,R,US,30594,342
2020-07-21,A,R,US,29900,337
2020-07-22,A,R,US,25786,317
2020-07-23,A,R,US,32210,375
2020-07-24,A,R,US,32631,358
2020-07-25,A,R,US,30138,376
2020-07-26,A,R,US,31896,369
2020-07-27,A,R,US,27809,350
2020-07-28,A,R,US,25732,330
2020-07-29,A,R,US,28771,355
2020-07-30,A,R,US,35490,374
2020-07-31,A,R,US,30957,332
2020-07-01,A,S,US,14746,1004
2020-07-02,A,S,US,12418,947
2020-07-03,A,S,US,9917,752
2020-07-04,A,S,US,34908,2189
2020-07-05,A,S,US,19002,1199
2020-07-06,A,S,US,11568,831
2020-07-07,A,S,US,10431,718
2020-07-08,A,S,US,8328,579
2020-07-09,A,S,US,6812,462
2020-07-10,A,S,US,6145,250
2020-07-11,A,S,US,6335,427
2020-07-12,A,S,US,6683,418
2020-07-13,A,S,US,4704,330
2020-07-14,A,S,US,4778,319
2020-07-15,A,S,US,4907,337
2020-07-16,A,S,US,5035,351
2020-07-17,A,S,US,3132,201
2020-07-18,A,S,US,2211,177
2020-07-19,A,S,US,2420,161
2020-07-20,A,S,US,2165,130
2020-07-21,A,S,US,2068,118
2020-07-22,A,S,US,3015,151
2020-07-23,A,S,US,2715,153
2020-07-24,A,S,US,4714,275
2020-07-25,A,S,US,5515,278
2020-07-26,A,S,US,5367,303
2020-07-27,A,S,US,5222,283
2020-07-28,A,S,US,3831,219
2020-07-29,A,S,US,2950,159
2020-07-30,A,S,US,1846,109
2020-07-31,A,S,US,700,60
2020-07-01,A,T,US,41255,682
2020-07-02,A,T,US,45510,780
2020-07-03,A,T,US,49659,785
2020-07-04,A,T,US,82713,1304
2020-07-05,A,T,US,55342,914
2020-07-06,A,T,US,60477,972
2020-07-07,A,T,US,68404,1075
2020-07-08,A,T,US,96764,1442
2020-07-09,A,T,US,89493,1338
2020-07-10,A,T,US,93498,1317
2020-07-11,A,T,US,135227,2008
2020-07-12,A,T,US,127315,1837
2020-07-13,A,T,US,96594,1456
2020-07-14,A,T,US,89336,1385
2020-07-15,A,T,US,115305,1646
2020-07-16,A,T,US,121504,1727
2020-07-17,A,T,US,136598,1997
2020-07-18,A,T,US,127683,1799
2020-07-19,A,T,US,116284,1767
2020-07-20,A,T,US,106693,1545
2020-07-21,A,T,US,124759,1745
2020-07-22,A,T,US,113398,1715
2020-07-23,A,T,US,116404,1763
2020-07-24,A,T,US,121780,1842
2020-07-25,A,T,US,133106,1877
2020-07-26,A,T,US,117342,1745
2020-07-27,A,T,US,69025,1087
2020-07-28,A,T,US,69512,1069
2020-07-29,A,T,US,70436,1106
2020-07-30,A,T,US,78370,1099
2020-07-31,A,T,US,54346,921
2020-07-01,B,K,US,30,6
2020-07-02,B,K,US,382,33
2020-07-03,B,K,US,9985,675
2020-07-04,B,K,US,13787,1098
2020-07-05,B,K,US,9021,681
2020-07-06,B,K,US,7818,604
2020-07-07,B,K,US,6493,496
2020-07-08,B,K,US,6250,491
2020-07-09,B,K,US,5611,414
2020-07-10,B,K,US,6019,440
2020-07-11,B,K,US,6219,477
2020-07-12,B,K,US,6640,478
2020-07-13,B,K,US,6034,435
2020-07-14,B,K,US,5717,400
2020-07-15,B,K,US,7187,473
2020-07-16,B,K,US,7412,511
2020-07-17,B,K,US,6956,452
2020-07-18,B,K,US,6743,429
2020-07-19,B,K,US,7234,450
2020-07-20,B,K,US,6054,400
2020-07-21,B,K,US,6404,410
2020-07-22,B,K,US,6273,397
2020-07-23,B,K,US,4723,332
2020-07-24,B,K,US,4795,307
2020-07-25,B,K,US,4919,298
2020-07-26,B,K,US,4628,308
2020-07-27,B,K,US,3451,232
2020-07-28,B,K,US,3257,239
2020-07-29,B,K,US,3254,220
2020-07-30,B,K,US,2527,169
2020-07-31,B,K,US,2652,182
2020-07-01,B,L,US,700,51
2020-07-02,B,L,US,1222,84
2020-07-03,B,L,US,1249,77
2020-07-04,B,L,US,1602,122
2020-07-05,B,L,US,1397,82
2020-07-06,B,L,US,1472,109
2020-07-07,B,L,US,1402,90
2020-07-08,B,L,US,1198,74
2020-07-09,B,L,US,993,50
2020-07-10,B,L,US,1333,44
2020-07-11,B,L,US,1265,82
2020-07-12,B,L,US,1041,59
2020-07-13,B,L,US,1006,60
2020-07-14,B,L,US,1187,95
2020-07-15,B,L,US,1319,93
2020-07-16,B,L,US,1444,108
2020-07-17,B,L,US,960,75
2020-07-18,B,L,US,1048,73
2020-07-19,B,L,US,709,44
2020-07-20,B,L,US,700,39
2020-07-21,B,L,US,1182,62
2020-07-22,B,L,US,681,45
2020-07-23,B,L,US,1043,94
2020-07-24,B,L,US,2320,263
2020-07-25,B,L,US,2411,319
2020-07-26,B,L,US,2724,359
2020-07-27,B,L,US,2829,407
2020-07-28,B,L,US,3165,385
2020-07-29,B,L,US,43926,2976
2020-07-30,B,L,US,31436,2363
2020-07-31,B,L,US,29350,2215
